Run ID,Command Number,Connections(s),Script,Requests Per Second,Mean,StdDeviation,Max,Total count,Buckets,SubBuckets,P50,P75,P90,P99,P99.9,P99.99,P99.999
46,16,16,scripts/social-network/read-home-timeline.lua,1000,0.914,0.473,38.272,49990.0,27.0,2048.0,847.00us,1.01ms,1.22ms,1.93ms,5.12ms,20.51ms,38.30ms
47,16,16,scripts/social-network/read-home-timeline.lua,1000,0.818,0.226,8.132,49991.0,27.0,2048.0,789.00us,0.89ms,1.02ms,1.39ms,3.60ms,6.11ms,8.14ms
48,16,16,scripts/social-network/read-home-timeline.lua,1000,0.84,0.246,7.944,49993.0,27.0,2048.0,801.00us,0.92ms,1.07ms,1.56ms,3.57ms,5.94ms,7.95ms
49,17,8,scripts/social-network/read-home-timeline.lua,1000,0.789,0.235,21.296,49998.0,27.0,2048.0,767.00us,0.87ms,0.99ms,1.31ms,2.71ms,6.74ms,21.31ms
50,17,8,scripts/social-network/read-home-timeline.lua,1000,0.737,0.376,46.336,49997.0,27.0,2048.0,714.00us,810.00us,0.92ms,1.23ms,2.29ms,9.74ms,46.37ms
51,17,8,scripts/social-network/read-home-timeline.lua,1000,0.725,0.218,13.848,49997.0,27.0,2048.0,701.00us,807.00us,0.92ms,1.24ms,2.15ms,7.51ms,13.85ms
52,18,4,scripts/social-network/read-home-timeline.lua,1000,0.696,0.182,7.264,49997.0,27.0,2048.0,669.00us,781.00us,0.90ms,1.22ms,2.03ms,4.85ms,7.27ms
53,18,4,scripts/social-network/read-home-timeline.lua,1000,0.691,0.188,8.68,49996.0,27.0,2048.0,667.00us,765.00us,0.88ms,1.18ms,2.15ms,5.38ms,8.69ms
54,18,4,scripts/social-network/read-home-timeline.lua,1000,0.735,0.185,6.728,49996.0,27.0,2048.0,716.00us,813.00us,0.92ms,1.20ms,2.35ms,5.68ms,6.73ms
55,19,2,scripts/social-network/read-home-timeline.lua,1000,0.721,0.183,7.0,49998.0,27.0,2048.0,705.00us,789.00us,0.88ms,1.15ms,2.61ms,6.33ms,7.00ms
56,19,2,scripts/social-network/read-home-timeline.lua,1000,0.696,0.186,7.376,49997.0,27.0,2048.0,679.00us,763.00us,0.86ms,1.14ms,2.92ms,5.71ms,7.38ms
57,19,2,scripts/social-network/read-home-timeline.lua,1000,0.731,0.211,8.128,49997.0,27.0,2048.0,708.00us,797.00us,0.90ms,1.22ms,3.57ms,6.30ms,8.13ms
58,20,1,scripts/social-network/read-home-timeline.lua,1000,0.806,0.343,6.96,49998.0,27.0,2048.0,678.00us,1.04ms,1.22ms,1.61ms,4.23ms,6.39ms,6.96ms
59,20,1,scripts/social-network/read-home-timeline.lua,1000,0.853,0.347,6.592,49998.0,27.0,2048.0,816.00us,1.07ms,1.24ms,1.64ms,4.31ms,6.43ms,6.59ms
60,20,1,scripts/social-network/read-home-timeline.lua,1000,0.687,0.323,6.96,49998.0,27.0,2048.0,585.00us,727.00us,1.09ms,1.55ms,4.74ms,6.47ms,6.96ms
61,21,16,scripts/social-network/read-home-timeline.lua,1000,0.878,1.028,56.224,49992.0,27.0,2048.0,812.00us,0.94ms,1.10ms,1.66ms,6.61ms,46.24ms,56.26ms
62,21,16,scripts/social-network/read-home-timeline.lua,1000,0.939,0.315,26.32,49994.0,27.0,2048.0,0.88ms,1.04ms,1.24ms,1.86ms,3.40ms,7.47ms,26.33ms
63,21,16,scripts/social-network/read-home-timeline.lua,1000,0.842,0.227,7.496,49992.0,27.0,2048.0,806.00us,0.93ms,1.08ms,1.53ms,2.65ms,6.02ms,7.50ms
64,22,16,scripts/social-network/read-home-timeline.lua,750,0.956,0.289,8.032,37192.0,27.0,2048.0,0.90ms,1.06ms,1.24ms,1.82ms,3.80ms,7.40ms,8.03ms
65,22,16,scripts/social-network/read-home-timeline.lua,750,0.898,0.247,7.516,37194.0,27.0,2048.0,0.86ms,0.99ms,1.16ms,1.68ms,3.03ms,6.34ms,7.52ms
66,22,16,scripts/social-network/read-home-timeline.lua,750,0.868,0.227,8.432,37194.0,27.0,2048.0,835.00us,0.95ms,1.09ms,1.51ms,3.05ms,6.32ms,8.44ms
67,23,16,scripts/social-network/read-home-timeline.lua,500,0.931,0.269,8.816,24796.0,27.0,2048.0,0.89ms,1.03ms,1.20ms,1.72ms,3.27ms,7.86ms,8.82ms
68,23,16,scripts/social-network/read-home-timeline.lua,500,0.889,0.35,38.048,24794.0,27.0,2048.0,843.00us,0.99ms,1.16ms,1.63ms,3.46ms,6.32ms,38.08ms
69,23,16,scripts/social-network/read-home-timeline.lua,500,0.923,0.291,18.992,24792.0,27.0,2048.0,0.88ms,1.01ms,1.18ms,1.76ms,3.00ms,4.86ms,19.01ms
70,24,16,scripts/social-network/read-home-timeline.lua,200,1.005,0.337,14.92,9992.0,27.0,2048.0,0.95ms,1.13ms,1.32ms,1.92ms,3.32ms,9.19ms,14.93ms
71,24,16,scripts/social-network/read-home-timeline.lua,200,1.035,0.313,6.024,9993.0,27.0,2048.0,0.98ms,1.18ms,1.37ms,2.01ms,4.22ms,5.60ms,6.03ms
72,24,16,scripts/social-network/read-home-timeline.lua,200,1.056,0.293,4.668,9993.0,27.0,2048.0,1.00ms,1.20ms,1.39ms,2.00ms,3.16ms,4.53ms,4.67ms
73,25,16,scripts/social-network/read-home-timeline.lua,100,1.094,0.371,14.392,4796.0,27.0,2048.0,1.03ms,1.24ms,1.47ms,2.08ms,3.84ms,14.40ms,14.40ms
74,25,16,scripts/social-network/read-home-timeline.lua,100,1.126,0.385,6.332,4795.0,27.0,2048.0,1.05ms,1.30ms,1.55ms,2.41ms,4.03ms,6.34ms,6.34ms
75,25,16,scripts/social-network/read-home-timeline.lua,100,1.068,0.3,4.042,4792.0,27.0,2048.0,1.01ms,1.22ms,1.44ms,2.05ms,2.89ms,4.04ms,4.04ms
76,26,16,scripts/social-network/read-home-timeline.lua,10,nan,nan,0.0,0.0,27.0,2048.0,0.00us,0.00us,0.00us,0.00us,0.00us,0.00us,0.00us
77,26,16,scripts/social-network/read-home-timeline.lua,10,nan,nan,0.0,0.0,27.0,2048.0,0.00us,0.00us,0.00us,0.00us,0.00us,0.00us,0.00us
78,26,16,scripts/social-network/read-home-timeline.lua,10,nan,nan,0.0,0.0,27.0,2048.0,0.00us,0.00us,0.00us,0.00us,0.00us,0.00us,0.00us
