Run ID,Command Number,Connections(s),Script,Requests Per Second,Mean,StdDeviation,Max,Total count,Buckets,SubBuckets,P50,P75,P90,P99,P99.9,P99.99,P99.999
33,11,16,scripts/social-network/read-home-timeline.lua,1000,12590.907,5733.055,22495.232,31763.0,27.0,2048.0,12.21s,17.87s,19.96s,21.89s,22.33s,22.48s,22.51s
34,12,32,scripts/social-network/read-home-timeline.lua,1000,21022.129,8888.475,35782.656,20705.0,27.0,2048.0,21.69s,29.34s,32.62s,34.50s,35.32s,35.72s,35.82s
35,12,32,scripts/social-network/read-home-timeline.lua,1000,19775.268,9495.657,36569.088,18899.0,27.0,2048.0,19.43s,28.66s,32.46s,35.75s,36.34s,36.54s,36.60s
36,12,32,scripts/social-network/read-home-timeline.lua,1000,18709.42,8249.83,33980.416,22078.0,27.0,2048.0,18.79s,25.80s,30.51s,33.03s,33.69s,33.91s,34.01s
37,13,64,scripts/social-network/read-home-timeline.lua,1000,21277.407,9223.296,36700.16,19499.0,27.0,2048.0,22.04s,29.43s,33.54s,35.95s,36.50s,36.70s,36.73s
38,13,64,scripts/social-network/read-home-timeline.lua,1000,20253.929,8742.414,36339.712,20344.0,27.0,2048.0,20.64s,27.98s,32.16s,35.03s,35.75s,36.08s,36.37s
39,13,64,scripts/social-network/read-home-timeline.lua,1000,20137.087,8816.038,36470.784,19770.0,27.0,2048.0,19.89s,27.89s,32.80s,35.49s,36.14s,36.44s,36.50s
40,14,16,scripts/social-network/compose-post.lua,10,291.34,80.137,516.608,400.0,27.0,2048.0,289.02ms,342.02ms,391.93ms,479.74ms,516.86ms,516.86ms,516.86ms
41,14,16,scripts/social-network/compose-post.lua,10,260.702,71.85,528.384,400.0,27.0,2048.0,260.99ms,300.03ms,340.73ms,498.43ms,528.90ms,528.90ms,528.90ms
42,14,16,scripts/social-network/compose-post.lua,10,261.33,82.879,475.904,400.0,27.0,2048.0,255.36ms,318.21ms,370.69ms,464.64ms,476.16ms,476.16ms,476.16ms
43,15,16,scripts/social-network/compose-post.lua,100,8893.47,4319.147,16842.752,3526.0,27.0,2048.0,8.97s,12.98s,14.71s,16.20s,16.68s,16.86s,16.86s
44,15,16,scripts/social-network/compose-post.lua,100,11040.888,4270.442,17711.104,3486.0,27.0,2048.0,12.03s,14.85s,16.13s,17.20s,17.69s,17.73s,17.73s
45,15,16,scripts/social-network/compose-post.lua,100,9282.99,3731.009,15482.88,3642.0,27.0,2048.0,9.93s,12.44s,13.84s,14.99s,15.39s,15.49s,15.49s
46,16,16,scripts/social-network/compose-post.lua,200,22318.408,9678.863,38567.936,3530.0,27.0,2048.0,22.82s,30.67s,35.59s,38.11s,38.47s,38.60s,38.60s
47,16,16,scripts/social-network/compose-post.lua,200,22736.962,9138.277,37814.272,3767.0,27.0,2048.0,23.53s,30.62s,34.90s,37.32s,37.65s,37.85s,37.85s
48,16,16,scripts/social-network/compose-post.lua,200,21258.474,8833.132,36995.072,3911.0,27.0,2048.0,21.73s,28.69s,33.24s,36.21s,36.77s,37.03s,37.03s
49,17,16,scripts/social-network/compose-post.lua,500,29041.269,12515.921,51642.368,3433.0,27.0,2048.0,28.82s,39.91s,46.53s,50.95s,0.86m,0.86m,0.86m
50,17,16,scripts/social-network/compose-post.lua,500,31721.882,12561.253,52658.176,3019.0,27.0,2048.0,32.36s,42.50s,48.63s,0.87m,0.88m,0.88m,0.88m
51,17,16,scripts/social-network/compose-post.lua,500,30255.975,12468.874,52133.888,3222.0,27.0,2048.0,29.97s,41.25s,47.55s,0.86m,0.87m,0.87m,0.87m
52,18,16,scripts/social-network/compose-post.lua,750,32849.826,12855.538,54460.416,3482.0,27.0,2048.0,33.36s,43.81s,50.23s,0.90m,0.91m,0.91m,0.91m
53,18,16,scripts/social-network/compose-post.lua,750,32246.437,13104.58,54722.56,3310.0,27.0,2048.0,32.26s,43.71s,50.40s,0.91m,0.91m,0.91m,0.91m
54,18,16,scripts/social-network/compose-post.lua,750,31572.311,12765.36,54001.664,3739.0,27.0,2048.0,31.46s,42.63s,49.55s,0.89m,0.90m,0.90m,0.90m
55,19,16,scripts/social-network/compose-post.lua,1000,32919.912,13378.913,56164.352,3006.0,27.0,2048.0,32.59s,44.76s,0.86m,0.93m,0.94m,0.94m,0.94m
56,19,16,scripts/social-network/compose-post.lua,1000,32497.539,13805.895,57114.624,2327.0,27.0,2048.0,31.46s,44.43s,0.87m,0.95m,0.95m,0.95m,0.95m
57,19,16,scripts/social-network/compose-post.lua,1000,33736.542,13631.405,57049.088,2478.0,27.0,2048.0,33.88s,45.74s,0.87m,0.94m,0.95m,0.95m,0.95m
58,20,1,scripts/social-network/compose-post.lua,1000,34546.096,14418.864,59146.24,663.0,27.0,2048.0,34.37s,47.25s,0.91m,0.98m,0.98m,0.99m,0.99m
59,20,1,scripts/social-network/compose-post.lua,1000,34878.96,14269.296,59179.008,655.0,27.0,2048.0,35.19s,47.19s,0.91m,0.98m,0.99m,0.99m,0.99m
60,20,1,scripts/social-network/compose-post.lua,1000,34911.656,14254.085,59146.24,625.0,27.0,2048.0,34.54s,47.32s,0.92m,0.98m,0.99m,0.99m,0.99m
61,21,2,scripts/social-network/compose-post.lua,1000,34437.131,14184.626,58785.792,931.0,27.0,2048.0,34.50s,46.56s,0.90m,0.97m,0.98m,0.98m,0.98m
62,21,2,scripts/social-network/compose-post.lua,1000,34489.736,14155.906,58851.328,911.0,27.0,2048.0,34.41s,46.66s,0.90m,0.97m,0.98m,0.98m,0.98m
63,21,2,scripts/social-network/compose-post.lua,1000,34923.529,14243.645,58851.328,912.0,27.0,2048.0,35.23s,47.64s,0.90m,0.98m,0.98m,0.98m,0.98m
64,22,4,scripts/social-network/compose-post.lua,1000,34453.323,14249.549,58392.576,1316.0,27.0,2048.0,34.73s,47.05s,0.90m,0.97m,0.97m,0.97m,0.97m
65,22,4,scripts/social-network/compose-post.lua,1000,35293.954,13948.759,58851.328,1122.0,27.0,2048.0,36.44s,46.69s,0.91m,0.97m,0.98m,0.98m,0.98m
66,22,4,scripts/social-network/compose-post.lua,1000,34293.832,14263.257,59080.704,1026.0,27.0,2048.0,34.70s,46.53s,0.90m,0.97m,0.98m,0.99m,0.99m
67,23,8,scripts/social-network/compose-post.lua,1000,35276.685,14000.602,58130.432,1623.0,27.0,2048.0,36.04s,47.78s,0.89m,0.96m,0.97m,0.97m,0.97m
68,23,8,scripts/social-network/compose-post.lua,1000,33586.23,13823.671,57933.824,1702.0,27.0,2048.0,33.85s,45.38s,0.89m,0.96m,0.97m,0.97m,0.97m
69,23,8,scripts/social-network/compose-post.lua,1000,34389.263,13323.736,57835.52,1735.0,27.0,2048.0,35.39s,45.48s,0.87m,0.95m,0.96m,0.96m,0.96m
70,24,16,scripts/social-network/compose-post.lua,1000,33028.094,13747.318,58195.968,2676.0,27.0,2048.0,33.36s,44.96s,0.86m,0.94m,0.96m,0.97m,0.97m
71,24,16,scripts/social-network/compose-post.lua,1000,33339.253,13465.482,56918.016,2755.0,27.0,2048.0,33.23s,44.96s,0.87m,0.94m,0.95m,0.95m,0.95m
72,24,16,scripts/social-network/compose-post.lua,1000,32758.566,13513.099,57212.928,2723.0,27.0,2048.0,32.57s,44.40s,0.86m,0.94m,0.95m,0.95m,0.95m
73,25,32,scripts/social-network/compose-post.lua,1000,32976.696,13082.428,56885.248,3230.0,27.0,2048.0,32.96s,44.17s,50.89s,0.93m,0.94m,0.95m,0.95m
74,25,32,scripts/social-network/compose-post.lua,1000,31697.825,13226.283,56721.408,3103.0,27.0,2048.0,31.46s,42.53s,50.59s,0.93m,0.94m,0.95m,0.95m
75,25,32,scripts/social-network/compose-post.lua,1000,32577.707,13460.412,57507.84,3055.0,27.0,2048.0,32.57s,44.37s,50.99s,0.93m,0.94m,0.96m,0.96m
76,26,64,scripts/social-network/compose-post.lua,1000,32520.428,13344.443,56524.8,3221.0,27.0,2048.0,33.00s,43.35s,0.86m,0.92m,0.94m,0.94m,0.94m
77,26,64,scripts/social-network/compose-post.lua,1000,32836.559,13155.121,56426.496,3371.0,27.0,2048.0,32.70s,44.07s,0.86m,0.92m,0.94m,0.94m,0.94m
78,26,64,scripts/social-network/compose-post.lua,1000,32956.647,13529.876,56983.552,3613.0,27.0,2048.0,33.28s,44.53s,0.86m,0.92m,0.93m,0.95m,0.95m
