Run ID,Command Number,Connections(s),Script,Requests Per Second,Mean,StdDeviation,Max,Total count,Buckets,SubBuckets,P50,P75,P90,P99,P99.9,P99.99,P99.999
11,4,16,scripts/social-network/read-home-timeline.lua,500,89.925,115.513,748.544,25075.0,27.0,2048.0,44.03ms,111.29ms,233.60ms,592.90ms,721.41ms,743.42ms,749.05ms
12,4,16,scripts/social-network/read-home-timeline.lua,500,54.018,70.577,392.448,24800.0,27.0,2048.0,16.06ms,76.74ms,159.49ms,307.20ms,370.69ms,391.17ms,392.70ms
13,5,16,scripts/social-network/read-home-timeline.lua,750,47.677,62.857,373.504,37104.0,27.0,2048.0,15.53ms,65.09ms,137.34ms,285.44ms,349.95ms,364.29ms,373.76ms
14,5,16,scripts/social-network/read-home-timeline.lua,750,66.637,103.55,638.464,37310.0,27.0,2048.0,16.26ms,80.06ms,201.47ms,512.51ms,598.53ms,634.37ms,638.97ms
15,5,16,scripts/social-network/read-home-timeline.lua,750,95.401,115.225,645.12,37192.0,27.0,2048.0,48.22ms,139.90ms,258.30ms,508.93ms,583.68ms,606.21ms,645.63ms
16,6,16,scripts/social-network/read-home-timeline.lua,1000,117.566,160.911,992.768,49946.0,27.0,2048.0,56.64ms,159.62ms,314.62ms,851.97ms,954.88ms,987.14ms,993.28ms
17,6,16,scripts/social-network/read-home-timeline.lua,1000,126.006,147.853,733.184,49848.0,27.0,2048.0,71.61ms,178.18ms,333.31ms,652.29ms,695.29ms,723.46ms,733.70ms
18,6,16,scripts/social-network/read-home-timeline.lua,1000,143.798,177.955,966.656,49860.0,27.0,2048.0,78.33ms,189.95ms,394.75ms,784.90ms,885.76ms,954.37ms,967.17ms
19,7,1,scripts/social-network/read-home-timeline.lua,1000,27132.521,10615.375,43188.224,12405.0,27.0,2048.0,26.64s,37.00s,41.32s,42.96s,43.22s,43.22s,43.22s
20,7,1,scripts/social-network/read-home-timeline.lua,1000,14071.145,7952.81,29343.744,11671.0,27.0,2048.0,13.14s,20.43s,26.23s,29.00s,29.33s,29.36s,29.36s
21,7,1,scripts/social-network/read-home-timeline.lua,1000,13467.802,7263.203,27721.728,13361.0,27.0,2048.0,13.43s,18.86s,24.15s,27.39s,27.71s,27.74s,27.74s
22,8,2,scripts/social-network/read-home-timeline.lua,1000,17925.584,7333.332,29917.184,25037.0,27.0,2048.0,18.96s,24.12s,28.13s,29.70s,29.88s,29.92s,29.93s
23,8,2,scripts/social-network/read-home-timeline.lua,1000,18727.175,8296.086,32768.0,22485.0,27.0,2048.0,18.81s,25.74s,30.57s,32.52s,32.72s,32.74s,32.78s
24,8,2,scripts/social-network/read-home-timeline.lua,1000,19774.475,7455.243,31244.288,24566.0,27.0,2048.0,20.71s,26.57s,29.44s,31.01s,31.20s,31.26s,31.26s
25,9,4,scripts/social-network/read-home-timeline.lua,1000,2900.964,2678.045,6746.112,44516.0,27.0,2048.0,3.17s,5.82s,6.10s,6.57s,6.70s,6.74s,6.75s
26,9,4,scripts/social-network/read-home-timeline.lua,1000,5220.426,2383.302,9871.36,41838.0,27.0,2048.0,5.82s,7.11s,7.87s,9.75s,9.84s,9.87s,9.88s
27,9,4,scripts/social-network/read-home-timeline.lua,1000,6829.611,1712.771,8601.6,44852.0,27.0,2048.0,7.49s,8.03s,8.22s,8.45s,8.59s,8.61s,8.61s
28,10,8,scripts/social-network/read-home-timeline.lua,1000,16.346,21.104,161.024,50002.0,27.0,2048.0,7.63ms,16.91ms,42.65ms,102.85ms,131.58ms,150.01ms,155.77ms
29,10,8,scripts/social-network/read-home-timeline.lua,1000,11.801,15.657,150.272,50000.0,27.0,2048.0,6.21ms,11.31ms,24.33ms,85.44ms,130.18ms,145.02ms,150.40ms
30,10,8,scripts/social-network/read-home-timeline.lua,1000,116.755,219.141,951.296,50008.0,27.0,2048.0,13.65ms,68.16ms,495.10ms,854.02ms,910.34ms,945.15ms,951.29ms
31,11,16,scripts/social-network/read-home-timeline.lua,1000,64.107,79.207,434.176,49893.0,27.0,2048.0,21.82ms,98.43ms,179.71ms,347.39ms,402.17ms,428.80ms,434.43ms
32,11,16,scripts/social-network/read-home-timeline.lua,1000,64.504,83.667,601.088,49990.0,27.0,2048.0,27.41ms,88.96ms,169.85ms,364.29ms,552.96ms,584.19ms,601.60ms
33,11,16,scripts/social-network/read-home-timeline.lua,1000,47.851,83.491,638.976,50057.0,27.0,2048.0,12.56ms,46.30ms,137.98ms,411.65ms,603.14ms,626.17ms,632.32ms
34,12,32,scripts/social-network/read-home-timeline.lua,1000,20636.132,8415.554,35848.192,20379.0,27.0,2048.0,20.58s,27.75s,32.49s,35.09s,35.52s,35.75s,35.88s
35,12,32,scripts/social-network/read-home-timeline.lua,1000,20222.683,8286.738,34832.384,21110.0,27.0,2048.0,20.41s,27.21s,31.51s,34.11s,34.54s,34.73s,34.87s
36,12,32,scripts/social-network/read-home-timeline.lua,1000,20640.897,8555.004,35651.584,20247.0,27.0,2048.0,20.41s,28.18s,32.46s,34.93s,35.45s,35.62s,35.68s
37,13,64,scripts/social-network/read-home-timeline.lua,1000,11747.971,4652.715,21200.896,33590.0,27.0,2048.0,11.94s,15.67s,18.06s,19.92s,20.74s,21.07s,21.22s
38,13,64,scripts/social-network/read-home-timeline.lua,1000,10790.735,4573.526,19808.256,34097.0,27.0,2048.0,10.87s,14.58s,17.02s,18.73s,19.43s,19.74s,19.82s
39,13,64,scripts/social-network/read-home-timeline.lua,1000,11529.164,4359.36,20332.544,34639.0,27.0,2048.0,11.56s,15.35s,17.53s,18.96s,19.63s,20.14s,20.35s
40,14,16,scripts/social-network/compose-post.lua,10,92.417,51.828,342.784,400.0,27.0,2048.0,80.64ms,103.23ms,135.68ms,322.05ms,343.04ms,343.04ms,343.04ms
41,14,16,scripts/social-network/compose-post.lua,10,96.482,38.461,278.784,400.0,27.0,2048.0,95.17ms,114.24ms,125.18ms,255.74ms,279.04ms,279.04ms,279.04ms
42,14,16,scripts/social-network/compose-post.lua,10,87.764,29.342,177.28,400.0,27.0,2048.0,82.94ms,105.28ms,124.99ms,164.74ms,177.41ms,177.41ms,177.41ms
43,15,16,scripts/social-network/compose-post.lua,100,72.064,21.176,193.92,4800.0,27.0,2048.0,69.57ms,82.56ms,97.98ms,139.39ms,183.55ms,194.05ms,194.05ms
44,15,16,scripts/social-network/compose-post.lua,100,77.359,24.105,230.656,4800.0,27.0,2048.0,74.62ms,90.69ms,109.44ms,149.76ms,168.57ms,230.78ms,230.78ms
45,15,16,scripts/social-network/compose-post.lua,100,82.234,28.661,232.448,4811.0,27.0,2048.0,78.53ms,96.57ms,119.17ms,168.96ms,222.46ms,232.57ms,232.57ms
46,16,16,scripts/social-network/compose-post.lua,200,189.714,164.267,1094.656,9918.0,27.0,2048.0,126.27ms,240.13ms,405.50ms,848.38ms,1.03s,1.09s,1.10s
47,16,16,scripts/social-network/compose-post.lua,200,950.706,657.129,2682.88,10382.0,27.0,2048.0,901.63ms,1.37s,1.94s,2.46s,2.65s,2.68s,2.68s
48,16,16,scripts/social-network/compose-post.lua,200,817.106,628.701,2611.2,9870.0,27.0,2048.0,811.01ms,1.28s,1.76s,2.21s,2.56s,2.61s,2.61s
49,17,16,scripts/social-network/compose-post.lua,500,19423.198,7466.619,32358.4,9335.0,27.0,2048.0,19.60s,26.80s,28.97s,30.88s,31.88s,32.33s,32.37s
50,17,16,scripts/social-network/compose-post.lua,500,20280.72,7327.723,32522.24,9178.0,27.0,2048.0,20.53s,27.36s,29.18s,31.08s,32.01s,32.44s,32.54s
51,17,16,scripts/social-network/compose-post.lua,500,20193.869,6644.749,30621.696,9546.0,27.0,2048.0,21.18s,26.13s,27.59s,29.33s,30.24s,30.56s,30.64s
52,18,16,scripts/social-network/compose-post.lua,750,19780.017,5391.459,35225.6,10587.0,27.0,2048.0,21.32s,24.23s,25.54s,27.67s,34.47s,35.23s,35.26s
53,18,16,scripts/social-network/compose-post.lua,750,20044.926,5973.983,29130.752,9928.0,27.0,2048.0,20.37s,25.43s,26.79s,28.00s,28.57s,29.05s,29.15s
54,18,16,scripts/social-network/compose-post.lua,750,20921.449,5544.487,30179.328,9719.0,27.0,2048.0,22.43s,25.25s,26.72s,28.77s,29.84s,30.08s,30.20s
55,19,16,scripts/social-network/compose-post.lua,1000,21434.699,6394.486,31948.8,9158.0,27.0,2048.0,21.12s,27.31s,28.92s,30.85s,31.62s,31.90s,31.97s
56,19,16,scripts/social-network/compose-post.lua,1000,20679.643,5933.653,30474.24,9571.0,27.0,2048.0,21.41s,25.97s,27.38s,29.00s,30.08s,30.41s,30.49s
57,19,16,scripts/social-network/compose-post.lua,1000,20060.896,4618.6,27459.584,10584.0,27.0,2048.0,21.50s,23.69s,24.89s,26.30s,26.92s,27.39s,27.48s
58,20,1,scripts/social-network/compose-post.lua,1000,8050.529,678.707,10002.432,3110.0,27.0,2048.0,7.93s,8.48s,9.07s,9.76s,9.95s,10.01s,10.01s
59,20,1,scripts/social-network/compose-post.lua,1000,6960.771,733.816,9338.88,2992.0,27.0,2048.0,6.99s,7.45s,7.88s,8.84s,9.31s,9.35s,9.35s
60,20,1,scripts/social-network/compose-post.lua,1000,7454.031,695.151,9347.072,2638.0,27.0,2048.0,7.43s,7.93s,8.37s,9.14s,9.31s,9.36s,9.36s
61,21,2,scripts/social-network/compose-post.lua,1000,8620.59,1278.667,11853.824,4694.0,27.0,2048.0,8.42s,9.54s,10.55s,11.38s,11.67s,11.86s,11.86s
62,21,2,scripts/social-network/compose-post.lua,1000,10769.967,1759.387,13385.728,4013.0,27.0,2048.0,11.39s,12.01s,12.57s,13.13s,13.36s,13.39s,13.39s
63,21,2,scripts/social-network/compose-post.lua,1000,8698.714,1480.123,12623.872,4342.0,27.0,2048.0,8.34s,9.97s,10.82s,12.02s,12.57s,12.63s,12.63s
64,22,4,scripts/social-network/compose-post.lua,1000,12090.139,1645.882,15638.528,5070.0,27.0,2048.0,12.23s,13.39s,14.22s,15.14s,15.49s,15.61s,15.65s
65,22,4,scripts/social-network/compose-post.lua,1000,11538.433,1679.005,16564.224,6056.0,27.0,2048.0,11.22s,11.93s,14.55s,15.75s,16.35s,16.53s,16.57s
66,22,4,scripts/social-network/compose-post.lua,1000,12765.729,1888.632,16760.832,5000.0,27.0,2048.0,12.89s,14.20s,15.16s,16.12s,16.61s,16.71s,16.77s
67,23,8,scripts/social-network/compose-post.lua,1000,18109.634,3318.129,23134.208,6411.0,27.0,2048.0,19.40s,20.56s,21.41s,22.43s,23.02s,23.15s,23.15s
68,23,8,scripts/social-network/compose-post.lua,1000,17576.413,3452.288,22724.608,6631.0,27.0,2048.0,18.92s,20.19s,21.12s,22.15s,22.54s,22.66s,22.74s
69,23,8,scripts/social-network/compose-post.lua,1000,15260.88,2563.815,22429.696,7440.0,27.0,2048.0,15.14s,16.65s,18.84s,21.46s,22.13s,22.40s,22.45s
70,24,16,scripts/social-network/compose-post.lua,1000,22259.92,7347.994,36077.568,8294.0,27.0,2048.0,21.12s,29.49s,32.15s,34.44s,35.39s,35.95s,36.11s
71,24,16,scripts/social-network/compose-post.lua,1000,23619.765,8100.197,39944.192,7170.0,27.0,2048.0,23.63s,30.11s,35.16s,38.31s,39.58s,39.75s,39.98s
72,24,16,scripts/social-network/compose-post.lua,1000,24709.171,7546.271,38633.472,7329.0,27.0,2048.0,25.74s,30.39s,34.37s,37.49s,38.37s,38.57s,38.67s
73,25,32,scripts/social-network/compose-post.lua,1000,28380.741,10588.224,46563.328,8702.0,27.0,2048.0,28.74s,38.27s,41.35s,44.66s,46.07s,46.43s,46.60s
74,25,32,scripts/social-network/compose-post.lua,1000,27062.754,10345.499,44924.928,9110.0,27.0,2048.0,27.84s,37.16s,39.91s,42.93s,44.11s,44.79s,44.96s
75,25,32,scripts/social-network/compose-post.lua,1000,28272.39,10606.622,44826.624,9033.0,27.0,2048.0,29.62s,38.11s,40.76s,43.29s,44.30s,44.70s,44.86s
76,26,64,scripts/social-network/compose-post.lua,1000,29051.804,11639.33,50462.72,8235.0,27.0,2048.0,29.23s,38.93s,45.02s,49.55s,50.23s,50.46s,50.50s
77,26,64,scripts/social-network/compose-post.lua,1000,29225.49,12139.737,50888.704,7704.0,27.0,2048.0,29.34s,38.93s,46.53s,50.36s,50.76s,50.89s,50.92s
78,26,64,scripts/social-network/compose-post.lua,1000,29584.551,12102.174,50987.008,7734.0,27.0,2048.0,29.79s,39.42s,46.73s,50.10s,50.76s,50.95s,0.85m
